Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:BAKERY [J](Hourly),Electricity:Zone:DELI [J](Hourly),Electricity:Zone:DRYSTORAGE [J](Hourly),Electricity:Zone:OFFICE [J](Hourly),Electricity:Zone:PRODUCE [J](Hourly),Electricity:Zone:SALES [J](Hourly),Electricity:Plant [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/02  15:00:00,820762183.6,527365615.6,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,315812213.5,190680243,102716325,102716325,0,0,226391112.5,149046913.4,970177310.3,928155565.3,37827000,4194745.014,,,,,,,,,,,,,,,,,,,
 01/02  16:00:00,845747828.6,527872382.7,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,316318980.6,178501221,102716325,102716325,0,0,226391112.5,149046913.4,977198840,931054501.9,37827000,8317338.041,,,,,,,,,,,,,,,,,,,
 01/02  17:00:00,858096405.7,527978427,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,316425025,178524453.7,102716325,102716325,0,0,226391112.5,149046913.4,992230888.1,950209031.6,37827000,4194856.491,,,,,,,,,,,,,,,,,,,
 01/02  18:00:00,856634224.8,526850280.5,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,315296878.4,178190419.4,102716325,102716325,0,0,226391112.5,149046913.4,1022770405,980748916.2,37827000,4194488.747,,,,,,,,,,,,,,,,,,,
 01/02  19:00:00,853193514.2,516273056.4,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,348380106.6,185326932.9,102716325,102716325,0,0,150927408.4,132695745.2,1063555941,1025737594,33624000,4194346.176,,,,,,,,,,,,,,,,,,,
 01/02  20:00:00,795175766.7,414025931.2,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,246132981.5,229556310.5,102716325,102716325,0,0,150927408.4,132695745.2,1104932870,1067115318,33624000,4193552.271,,,,,,,,,,,,,,,,,,,
 01/02  21:00:00,705708342,365673652.7,35874643.81,42848933.69,22285034.14,3700115.908,40731920.66,220233004.5,188441164.3,102716325,102716325,0,0,125772840.3,116344577.1,1142827131,1109212365,29421000,4193765.965,,,,,,,,,,,,,,,,,,,
 01/02  22:00:00,500257055.9,220616817.3,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,142533073.8,128046713.7,102716325,102716325,0,0,50309136.12,67291072.6,1061832563,1044948563,16812000,72000,,,,,,,,,,,,,,,,,,,
 01/02  23:00:00,286853448.5,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,99949833.03,0,0,0,0,12577284.03,32702336.3,12598178.47,0,8406000,4192178.467,,,,,,,,,,,,,,,,,,,
 01/02  24:00:00,415090426.4,247083343.1,9339544.381,14231988.57,4577230.491,705545.483,9849493.152,208379541,119129883.3,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/03  01:00:00,302779066.5,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,115875451,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/03  02:00:00,324230528,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,93405204.31,43921708.22,43921708.22,0,0,12577284.03,32702336.3,118620394.2,106022882.6,8406000,4191511.59,,,,,,,,,,,,,,,,,,,
 01/03  03:00:00,324891705.6,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,93464790.51,44523299.58,44523299.58,0,0,12577284.03,32702336.3,124949889.4,116471889.4,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/03  04:00:00,311296559.4,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,93307031.05,31085912.9,31085912.9,0,0,12577284.03,32702336.3,98990179.82,90512179.82,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/03  05:00:00,413944044.6,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,173514839.3,53525589.84,53525589.84,0,0,12577284.03,32702336.3,173352789.3,160755366.2,8406000,4191423.026,,,,,,,,,,,,,,,,,,,
 01/03  06:00:00,418776153.1,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,173881832.9,57990704.67,57990704.67,0,0,12577284.03,32702336.3,173360974.8,164882974.8,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/03  07:00:00,556194416.3,220616817.3,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,142533073.8,183984074.1,102716325,102716325,0,0,50309136.12,67291072.6,1716830237,1699946237,16812000,72000,,,,,,,,,,,,,,,,,,,
 01/03  08:00:00,550025520.6,220616817.3,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,142533073.8,190034478.3,102716325,102716325,0,0,50309136.12,67291072.6,1543200466,1522196117,16812000,4192348.828,,,,,,,,,,,,,,,,,,,
 01/03  09:00:00,754624337.9,467920777.9,35874643.81,42848933.69,22285034.14,3700115.908,40731920.66,322480129.7,183987235.1,102716325,102716325,0,0,125772840.3,116344577.1,1332109921,1298496204,29421000,4192716.561,,,,,,,,,,,,,,,,,,,
 01/03  10:00:00,841596160.2,526380430.4,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,314827028.3,212499404.8,102716325,102716325,0,0,226391112.5,149046913.4,1153573726,1115674726,37827000,72000,,,,,,,,,,,,,,,,,,,
 01/03  11:00:00,806648600.8,526380430.4,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,314827028.3,177551845.4,102716325,102716325,0,0,226391112.5,149046913.4,1063372827,1021351484,37827000,4194342.663,,,,,,,,,,,,,,,,,,,
 01/03  12:00:00,916917699.6,635437358,49566678.85,59940730.23,33608894.17,5731037.856,64815084.96,421774931.9,178764016.6,102716325,102716325,0,0,226391112.5,149046913.4,989216820.5,943070176.2,37827000,8319644.315,,,,,,,,,,,,,,,,,,,
 01/03  13:00:00,845945606.4,527371508,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,315818106,215857773.4,102716325,102716325,0,0,226391112.5,149046913.4,948380750.4,906357320.2,37827000,4196430.2,,,,,,,,,,,,,,,,,,,
 01/03  14:00:00,837337244.7,529037592.1,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,317484190.1,205583327.6,102716325,102716325,0,0,226391112.5,149046913.4,938685454.2,892539306.3,37827000,8319147.929,,,,,,,,,,,,,,,,,,,
 01/03  15:00:00,824462113.5,529995015.6,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,318441613.5,191750772.9,102716325,102716325,0,0,226391112.5,149046913.4,937926197.1,895904613.3,37827000,4194583.838,,,,,,,,,,,,,,,,,,,
 01/03  16:00:00,849820064.5,530814532.5,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,319261130.5,179631307,102716325,102716325,0,0,226391112.5,149046913.4,930851530.5,888829904.2,37827000,4194626.25,,,,,,,,,,,,,,,,,,,
 01/03  17:00:00,862661033.6,531257027.8,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,319703625.8,179810480.8,102716325,102716325,0,0,226391112.5,149046913.4,943583858.5,901561790.3,37827000,4195068.185,,,,,,,,,,,,,,,,,,,
 01/03  18:00:00,861521890.4,530463158.2,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,318909756.2,179465207.2,102716325,102716325,0,0,226391112.5,149046913.4,968622339.1,926600649.9,37827000,4194689.205,,,,,,,,,,,,,,,,,,,
 01/03  19:00:00,857101199.6,519549015.9,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,351656066.1,185958658.8,102716325,102716325,0,0,150927408.4,132695745.2,1005210714,967392087.9,33624000,4194626.052,,,,,,,,,,,,,,,,,,,
 01/03  20:00:00,774827487.7,416130611.7,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,248237661.9,207103351,102716325,102716325,0,0,150927408.4,132695745.2,1041143049,1003325092,33624000,4193957.108,,,,,,,,,,,,,,,,,,,
 01/03  21:00:00,684941351.6,366455917,35874643.81,42848933.69,22285034.14,3700115.908,40731920.66,221015268.8,166891909.7,102716325,102716325,0,0,125772840.3,116344577.1,1075226085,1041611568,29421000,4193516.421,,,,,,,,,,,,,,,,,,,
 01/03  22:00:00,483896513,220978197,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,142894453.4,111324791.1,102716325,102716325,0,0,50309136.12,67291072.6,998295021.3,977290404.5,16812000,4192616.744,,,,,,,,,,,,,,,,,,,
 01/03  23:00:00,291816630.5,141630376.2,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,105035598.1,101309054.4,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/03  24:00:00,420042182.4,251117391.5,9339544.381,14231988.57,4577230.491,705545.483,9849493.152,212413589.5,120047590.9,0,0,0,0,12577284.03,32702336.3,12597631.83,0,8406000,4191631.831,,,,,,,,,,,,,,,,,,,
 01/04  01:00:00,306375781.3,139928567.3,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,103333789.3,117570013.9,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/04  02:00:00,310379872.5,138118001.1,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101523223,94103532.6,29281138.81,29281138.81,0,0,12577284.03,32702336.3,67668882.21,59190882.21,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/04  03:00:00,310542098.3,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,94357344.04,29281138.81,29281138.81,0,0,12577284.03,32702336.3,71783615.78,63305615.78,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/04  04:00:00,324726538,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,93901214.3,43921708.22,43921708.22,0,0,12577284.03,32702336.3,121749095.7,109151663.9,8406000,4191431.794,,,,,,,,,,,,,,,,,,,
