Date/Time,DistrictCooling:Facility [J](Monthly),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](Monthly),DistrictHeating:Facility [J](RunPeriod),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:FREEZER_1 [J](Hourly),Electricity:Zone:FREEZER_2 [J](Hourly),Electricity:Zone:FREEZER_3 [J](Hourly),Electricity:Zone:FREEZER_4 [J](Hourly),Electricity:Zone:FREEZER_5 [J](Hourly),Electricity:Zone:SUBFREEZER [J](Hourly),Electricity:Zone:COOLER_1 [J](Hourly),Electricity:Zone:COOLER_2 [J](Hourly),Electricity:Zone:COOLER_3 [J](Hourly),Electricity:Zone:DOCK [J](Hourly),Electricity:Zone:OFFICE1_LOWER [J](Hourly),Electricity:Zone:OFFICE1_UPPER [J](Hourly),Electricity:Zone:OFFICE2_LOWER [J](Hourly),Electricity:Zone:OFFICE2_UPPER [J](Hourly),Electricity:Zone: [J](Hourly),Electricity:Plant [J](Hourly),Electricity:HVAC [J](Hourly) 
 10/21  08:00:00,,,,,10869254183,9075492354,133202446.4,31502603.32,35538757.31,29873158.32,92765989.44,37477234.98,66601223.18,17123219.43,14393430.83,180503174.5,18340888.43,18340888.43,18340888.43,18340888.43,8363147563,1789701029,4060800
 10/21  09:00:00,,,,,9325692727,7722892050,133202446.4,31502603.32,35538757.31,29873158.32,92765989.44,37477234.98,66601223.18,17123219.43,14393430.83,180503174.5,18340888.43,18340888.43,18340888.43,18340888.43,7010547258,1598739877,4060800
 10/21  10:00:00,,,,,10310138939,8492380206,133202446.4,31502603.32,35538757.31,29873158.32,92765989.44,37477234.98,66601223.18,17123219.43,14393430.83,180503174.5,18340888.43,18340888.43,18340888.43,18340888.43,7780035414,1813697933,4060800
 10/21  11:00:00,,,,,10353312297,8467915229,133202446.4,31502603.32,35538757.31,29873158.32,92765989.44,37477234.98,66601223.18,17123219.43,14393430.83,180503174.5,18340888.43,18340888.43,18340888.43,18340888.43,7755570438,1881336268,4060800
 10/21  12:00:00,,,,,9075160841,7393585138,71358453.41,16876394.63,19038619.99,16003477.67,49696065.77,20077090.17,35679226.71,9173153.267,7710766.514,96698129.18,10562897.27,10562897.27,10562897.27,10562897.27,7009022172,1677514902,4060800
 10/21  13:00:00,,,,,9720138467,8017443885,50236351.2,11880981.82,13403188.47,11266448.28,34986030.3,14134271.48,25118175.6,6457899.9,5428379.626,68075482.95,7271097.303,7271097.303,7271097.303,7271097.303,7747372287,1698633781,4060800
 10/21  14:00:00,,,,,9664372079,8099280537,115695839.1,27362261.17,30867949.21,25946971.8,80573887.97,32551655.53,57847919.57,14872739.16,12501722.77,156779900.1,14868484.95,14868484.95,14868484.95,14868484.95,7484805750,1561030742,4060800
 10/21  15:00:00,,,,,9202137490,7543063801,115695839.1,27362261.17,30867949.21,25946971.8,80573887.97,32551655.53,57847919.57,14872739.16,12501722.77,156779900.1,14868484.95,14868484.95,14868484.95,14868484.95,6928589014,1655012890,4060800
 10/21  16:00:00,,,,,10034314859,8270856844,115695839.1,27362261.17,30867949.21,25946971.8,80573887.97,32551655.53,57847919.57,14872739.16,12501722.77,156779900.1,14868484.95,14868484.95,14868484.95,14868484.95,7656382058,1759397215,4060800
 10/21  17:00:00,,,,,10254048188,8576478220,115695839.1,27362261.17,30867949.21,25946971.8,80573887.97,32551655.53,57847919.57,14872739.16,12501722.77,156779900.1,14868484.95,14868484.95,14868484.95,14868484.95,7962003433,1673509169,4060800
 10/21  18:00:00,,,,,8589446209,7344734144,53851846.17,12736052.48,14367811.88,12077291.15,37503964.3,15151510.71,26925923.09,6922672.998,5819058.463,72974854.82,7090493.793,7090493.793,7090493.793,7090493.793,7058041182,1240651266,4060800
 10/21  19:00:00,,,,,8839930546,7459946168,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7402700484,1375923578,4060800
 10/21  20:00:00,,,,,8744507847,7430472886,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7373227203,1309974160,4060800
 10/21  21:00:00,,,,,7766671632,6639877431,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,6582631747,1122733401,4060800
 10/21  22:00:00,,,,,2197830832,1548943798,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,1491698114,644826233.9,4060800
 10/21  23:00:00,,,,,10584425953,8929829123,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,8872583439,1650536031,4060800
