Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LGSTORE1 [J](Hourly),Electricity:Zone:LGSTORE2 [J](Hourly),Electricity:Zone:SMSTORE1 [J](Hourly),Electricity:Zone:SMSTORE2 [J](Hourly),Electricity:Zone:SMSTORE3 [J](Hourly),Electricity:Zone:SMSTORE4 [J](Hourly),Electricity:Zone:SMSTORE5 [J](Hourly),Electricity:Zone:SMSTORE6 [J](Hourly),Electricity:Zone:SMSTORE7 [J](Hourly),Electricity:Zone:SMSTORE8 [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 09/23  06:00:00,53549568.35,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,28346277.65,0,28346277.65,0,0,6567571.381,4853719.325,118886325.2,118886325.2,,,,,,,,,,,,,,,,,,,
 09/23  07:00:00,51188859.06,22842581.41,4626710.747,3344927.504,2313355.373,1955910.927,1955910.927,1955910.927,1672463.752,1672463.752,1672463.752,1672463.752,28346277.65,0,28346277.65,0,0,13135142.76,9707438.65,83262615.42,83262615.42,,,,,,,,,,,,,,,,,,,
 09/23  08:00:00,83930770.35,55584492.7,11722923.65,7877573.922,5861461.825,4789128.486,4789128.486,4789128.486,3938786.961,3938786.961,3938786.961,3938786.961,28346277.65,0,28346277.65,0,0,39405428.29,16179064.42,31666255.71,31666255.71,,,,,,,,,,,,,,,,,,,
 09/23  09:00:00,133043637.3,104697359.6,22367243.01,14676543.55,11183621.5,9038954.825,9038954.825,9038954.825,7338271.775,7338271.775,7338271.775,7338271.775,28346277.65,0,28346277.65,0,0,78810856.57,25886503.07,0,0,,,,,,,,,,,,,,,,,,,
 09/23  10:00:00,175684878.5,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,28346277.65,0,28346277.65,0,0,118216284.9,29122315.95,0,0,,,,,,,,,,,,,,,,,,,
 09/23  11:00:00,178975728,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,31637127.14,0,28346277.65,3290849.499,0,118216284.9,29122315.95,0,0,,,,,,,,,,,,,,,,,,,
 09/23  12:00:00,189256430.6,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,41917829.82,0,28346277.65,13571552.18,0,118216284.9,29122315.95,0,0,,,,,,,,,,,,,,,,,,,
 09/23  13:00:00,196980418.6,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,49641817.77,0,28346277.65,21295540.13,0,118216284.9,29122315.95,0,0,,,,,,,,,,,,,,,,,,,
 09/23  14:00:00,202680443.7,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,55341842.94,0,28346277.65,26995565.3,0,118216284.9,29122315.95,0,0,,,,,,,,,,,,,,,,,,,
 09/23  15:00:00,205978594,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,58639993.15,0,28346277.65,30293715.51,0,118216284.9,29122315.95,0,0,,,,,,,,,,,,,,,,,,,
